"from","to","n_times"
"Chaplinskiy, Liam","De Fiore, Matthew",160
"De Fiore, Matthew","Bille, Ashley",2
"Steffens, Jason","Buchholz, Erin",46
"Steffens, Jason","Allen, Ebony",9
"Allen, Ebony","Buchholz, Erin",12
"Holguin, Luis","Hoffman, Stephanie",1
"Conner, Jose","al-Jafari, Saafiyya",23
"Conner, Jose","Rodriguez, Gabe",3
"Conner, Jose","Sweeney, Eric",4
"Sweeney, Eric","al-Jafari, Saafiyya",5
"Sweeney, Eric","Rodriguez, Gabe",2
"Rodriguez, Gabe","al-Jafari, Saafiyya",2
"el-Nour, Qaaida","el-Vaziri, Raadiya",109
"Montour, Mark","Chen, Parker",38
"Montour, Mark","Gay, Josephine",48
"Gay, Josephine","Chen, Parker",21
"Hong, Jodi","Maiolo, Tara",30
"Hong, Jodi","Fernandez, Nicole",12
"Hong, Jodi","Payne, Tyler",53
"Payne, Tyler","Maiolo, Tara",58
"Payne, Tyler","Fernandez, Nicole",43
"Fernandez, Nicole","Maiolo, Tara",20
"Nunez, Veronica","Wampler, Nathaniel",23
"el-El-Sayed, Aneesa","Hammer, Chandra",60
"el-El-Sayed, Aneesa","al-Idris, Saeed",111
"al-Idris, Saeed","Hammer, Chandra",125
"Goniea, Brittany","Wallace, Brandon",21
"Heller, Joshua","Atmore, David",33
"Lloyd, Shelby","Gagnon, Daimian",36
"Howard, Isaac","Mckenzie, Mario",7
"Howard, Isaac","Cable, Renae",10
"Cable, Renae","Mckenzie, Mario",82
"al-Ghani, Razeen","Wampler, Nathaniel",76
"al-Ghani, Razeen","Dintaman, Samuel",34
"Dintaman, Samuel","Wampler, Nathaniel",28
"el-Arshad, Aatifa","Trujillo, Marylou",153
"Murphy, Carrie","Miller, Erynn",78
"Lial, John","Fujinami, Alex",29
"Lial, John","Zolnir-Groshong, Garrett",1
"Zolnir-Groshong, Garrett","Fujinami, Alex",32
"Richardson, Abdullahi","el-Ayub, Haarith",119
"Richardson, Abdullahi","Hess, Dean",180
"Hess, Dean","el-Ayub, Haarith",139
"Woolsey, Leioka","Granados Garcia, Darwyn",116
"Heller, Joshua","Gopalakrishnan, Alexander",9
"Johns, Denisse","Nelson, Sami",5
"Johns, Denisse","al-Mansur, Mutammam",2
"Nichols, Dustin","Johns, Denisse",3
"Nelson, Sami","al-Mansur, Mutammam",2
"Nichols, Dustin","Nelson, Sami",54
"Nichols, Dustin","al-Mansur, Mutammam",2
"Smith, Antonette","Salazar, Jose",25
"Smith, Antonette","Mace, Shailyn",11
"Mace, Shailyn","Salazar, Jose",7
"Wilson, Valerie","Yachai, Andrew",39
"Whitlock, Alexandra","Xiong, Brandon",27
"Kaur, Brandon","Sayavong, Mariel",22
"el-Nazar, Sabaah","Johnson, Kathryn",52
"el-Nazar, Sabaah","Rascon, Devon",60
"Johnson, Kathryn","Rascon, Devon",45
"Cordova, Decia","Arvelo, Marissa",142
"Mcalister, Abigail","Norwood, Terrell",28
"Salvador, Jordan","Tran, Cole",56
"Perales, Megan","Aguilar, Larissa",17
"Mcgowan, Dominic","el-Mir, Taamir",9
"al-Raad, Hamna","el-Mir, Taamir",44
"Mcgowan, Dominic","al-Raad, Hamna",16
"Martinez, Alejandro","Moin, Vincent",6
"Martinez, Alejandro","Simental, Karla",9
"Simental, Karla","Moin, Vincent",18
"Reed, Samuel","el-Mohamed, Shukri",12
"Brunson, Go","Ortiz, Jesse",62
"Brunson, Go","Moin, Vincent",9
"Ortiz, Jesse","Moin, Vincent",6
"Fischer, Tarron","Baltierra, Lourdes",4
"Esquibel, Danielle","Baltierra, Lourdes",17
"Fischer, Tarron","Esquibel, Danielle",42
"Esquibel, Danielle","Holguin-Sanchez, Vinnie",47
"Holguin-Sanchez, Vinnie","Baltierra, Lourdes",38
"Fischer, Tarron","Holguin-Sanchez, Vinnie",24
"Simental, Karla","Hughes, Prentiss",38
"Hess, Dean","Medina, Mario",74
"Hess, Dean","Lockwood, Derrick",52
"Richardson, Abdullahi","Medina, Mario",5
"Richardson, Abdullahi","Lockwood, Derrick",57
"Lockwood, Derrick","Medina, Mario",6
"Lockwood, Derrick","Eltagonde, An",16
"el-Mansur, Abdut Tawwab","Riley, Aylissa",91
"el-Mansur, Abdut Tawwab","Lynch, Chadwick",93
"Lynch, Chadwick","Riley, Aylissa",86
"Alarid, Elizabeth","al-Saba, Waseem",20
"Valenzuela-Reynosa, Taina","al-Saba, Waseem",37
"Alarid, Elizabeth","Valenzuela-Reynosa, Taina",44
"Price, Bria","Gamboa, Destiny",56
"Price, Bria","Song, Kathleen",55
"Song, Kathleen","Gamboa, Destiny",50
"Juvera, Blanca","el-Farhat, Khaalida",40
"Juvera, Blanca","Kahsay, Darian",94
"Kahsay, Darian","el-Farhat, Khaalida",9
"Vicencio, Latina","Jones, Kiare",7
"Vicencio, Latina","Farley, Anissa",7
"Farley, Anissa","Jones, Kiare",30
"Riggins, Anngeleeke","Clark, Savana",59
"Olivas, Ashley","Elliott, Hilario",20
"Dintaman, Samuel","Olivas, Ashley",2
"Dintaman, Samuel","Elliott, Hilario",3
"Lenard, Fabian","Lamczyk, Shayne",9
"Stufflebean, David","Dowell, Chase",27
"Lee, Tiffany","Deuschle, Stephen",64
"Lee, Tiffany","el-Ghattas, Saabir",31
"el-Ghattas, Saabir","Deuschle, Stephen",33
"Hicks, Danielle","Lo, Christine",108
"el-Farhat, Khaalida","Mcdaniel, Tajrik",43
"Gomez, Teryn","Mcgowan, Dominic",26
"al-Halaby, Kameel","Thomson, Noah",2
"al-Halaby, Kameel","el-Sami, Noora",1
"al-Halaby, Kameel","al-Naqvi, Sumayya",2
"al-Halaby, Kameel","Dalton, Elisha",3
"el-Sami, Noora","Thomson, Noah",7
"el-Sami, Noora","al-Naqvi, Sumayya",6
"al-Naqvi, Sumayya","Thomson, Noah",13
"Dalton, Elisha","Thomson, Noah",3
"el-Sami, Noora","Dalton, Elisha",14
"al-Naqvi, Sumayya","Dalton, Elisha",5
"al-Farhat, Kaarim","Dowell, Chase",12
"Smith, Thanh","Olson, Joylensia",32
"Lehman, Shelby","al-Baluch, Shukriyya",41
"Garcia, Kayla","Campbell, Kenndi",7
"Goerner, Rodney","al-Salahuddin, Aseela",25
"Goerner, Rodney","Hill, Darrien",7
"Hill, Darrien","al-Salahuddin, Aseela",9
"Caraballo, Nickolas","Pickett, Kolton",36
"Rosas, Isaiah","Large, Alberto",5
"Rosas, Isaiah","al-Hannan, Iyaad",7
"al-Hannan, Iyaad","Large, Alberto",4
"Rosas, Isaiah","Garcia, Benjamin",8
"al-Hannan, Iyaad","Garcia, Benjamin",7
"Garcia, Benjamin","Large, Alberto",4
"al-Latif, Shukri","Aguilar, Sierra",15
"Esquibel, Danielle","Richards, Monica",1
"Esquibel, Danielle","el-Laham, Yahya",1
"Esquibel, Danielle","Rodriguez-Moreno, Savannah",8
"el-Laham, Yahya","Richards, Monica",10
"el-Laham, Yahya","Rodriguez-Moreno, Savannah",1
"Correa, Joshua","Richards, Monica",7
"Esquibel, Danielle","Correa, Joshua",1
"el-Laham, Yahya","Correa, Joshua",48
"Correa, Joshua","Rodriguez-Moreno, Savannah",16
"Rodriguez-Moreno, Savannah","Richards, Monica",1
"Gonzales, Fabian","Kennedy, Quinn",4
"Baca, Jordan","Tamayo, Christopher",1
"Ortiz, Jesse","Baca, Jordan",7
"Baca, Jordan","Kirksey, Bryce",4
"Ortiz, Jesse","Tamayo, Christopher",1
"Ortiz, Jesse","Kirksey, Bryce",1
"Kirksey, Bryce","Tamayo, Christopher",1
"Carrillo Renteria, Alanna","Barrett, Benjamin",55
"Carrillo Renteria, Alanna","Pakpahan, Andrew",53
"Pakpahan, Andrew","Barrett, Benjamin",46
"Mctague, Kyla","Culhane, Laquan",43
"Mctague, Kyla","Padilla, Oscar",26
"Padilla, Oscar","Culhane, Laquan",24
"Holguin, Luis","Watkins, Dakota",64
"Holguin, Luis","Romero, Perla",90
"Watkins, Dakota","Romero, Perla",50
"Vigil, Daphney","Hammer, Chandra",21
"Starcer, Lance","el-Hamdan, Saabiq",2
"Starcer, Lance","Muslimovic, Justin",2
"Starcer, Lance","Union, Quinton",7
"Carrillo Renteria, Alanna","Union, Quinton",5
"Union, Quinton","el-Hamdan, Saabiq",57
"Union, Quinton","Muslimovic, Justin",2
"Carrillo Renteria, Alanna","Starcer, Lance",4
"Carrillo Renteria, Alanna","el-Hamdan, Saabiq",26
"Carrillo Renteria, Alanna","Muslimovic, Justin",34
"el-Hamdan, Saabiq","Muslimovic, Justin",11
"Chaffin, Desmond","Duong, Kyle",10
"Fischer, Tarron","Farris, Micah",13
"Esquibel, Danielle","Farris, Micah",10
"Esquibel, Danielle","Hernandez, Leilani",9
"Farris, Micah","Hernandez, Leilani",7
"Fischer, Tarron","Hernandez, Leilani",8
"Mcneely, Andrea","Molina, Anthony",5
"Mcneely, Andrea","Thurman, Marcus",5
"Thurman, Marcus","Molina, Anthony",74
"Slowman, Ian","Harvey, Brianna",77
"Slowman, Ian","al-Farooqui, Saleel",56
"Harvey, Brianna","al-Farooqui, Saleel",113
"Turner, Broccan","Coker, Evan",12
"Turner, Broccan","Booker, Aujanair",10
"Booker, Aujanair","King, Lucy",23
"Booker, Aujanair","Coker, Evan",17
"Booker, Aujanair","Dingle, Elissia",8
"Turner, Broccan","King, Lucy",37
"King, Lucy","Coker, Evan",19
"King, Lucy","Dingle, Elissia",58
"Turner, Broccan","Dingle, Elissia",16
"Dingle, Elissia","Coker, Evan",10
"Caraballo, Nickolas","Holt, Gabriel",8
"Holt, Gabriel","Rosati, Johnathan",11
"Holt, Gabriel","Pickett, Kolton",15
"Holt, Gabriel","Williams, Jesse",30
"Caraballo, Nickolas","Rosati, Johnathan",27
"Caraballo, Nickolas","Williams, Jesse",21
"Rosati, Johnathan","Pickett, Kolton",84
"Rosati, Johnathan","Williams, Jesse",23
"Williams, Jesse","Pickett, Kolton",28
"al-Asad, Samir","Hubbard, Brittany",2
"al-Asad, Samir","Ngo, Christian",20
"Hubbard, Brittany","Ngo, Christian",2
"Armas, Alaina","Begay, Keili",22
"Weeks, Madison","Ernst, Charlotte",7
"Matthews, Wilbert","Williams, Robert",45
"Phillips, Dakaurey","Locust, Arlene",3
"Phillips, Dakaurey","Schwalger, Matthew",51
"Schwalger, Matthew","Locust, Arlene",3
"Lo, Christine","Berhe, Micah",41
"Gamboa, Destiny","al-Obeid, Aqeel",32
"Gamboa, Destiny","Sayers, Jerrell",42
"Sayers, Jerrell","al-Obeid, Aqeel",67
"Bille, Ashley","Chang, Vineet",1
"el-Fawaz, Shaheed","el-Mostafa, Nuzha",30
"el-Fawaz, Shaheed","Walters, Veronica",87
"el-Mostafa, Nuzha","Walters, Veronica",53
"Hubbart, Jeremiah","al-Fayad, Jawhar",26
"Lial, John","Hubbart, Jeremiah",66
"Lial, John","al-Fayad, Jawhar",54
"Hubbart, Jeremiah","Downs, Taylor",25
"Lial, John","Downs, Taylor",27
"Downs, Taylor","al-Fayad, Jawhar",59
"el-Mansur, Abdut Tawwab","Dorado Garcia, Vanessa",24
"Dorado Garcia, Vanessa","Brewer, Dylan",45
"el-Mansur, Abdut Tawwab","Brewer, Dylan",29
"Dorado Garcia, Vanessa","Dawson, Joshua",33
"Brewer, Dylan","Dawson, Joshua",58
"el-Mansur, Abdut Tawwab","Dawson, Joshua",10
"Ivan, Mckinzee","Roberts, Devante",15
"Ivan, Mckinzee","el-Nouri, Afnaan",11
"el-Nouri, Afnaan","Roberts, Devante",80
"Stufflebean, David","Garrett, Briana",7
"Stufflebean, David","Jordan, Nicholas",27
"Jordan, Nicholas","Garrett, Briana",6
"Castillo, Aaron","Liddle, Kenrick",116
"al-Asad, Samir","Curtice, Jeremiah",22
"Gomez, Savannah","Curtice, Jeremiah",7
"al-Asad, Samir","Gomez, Savannah",6
"Martinez, Alize","el-Faris, Shafeeqa",8
"Baker, Henry","Morris, Tatyana",17
"el-Kalil, Ihaab","Leiva, Jessica",15
"al-Yousuf, Fawz","el-Ali, Labeeba",65
"al-Yousuf, Fawz","Burnsed, Jalen",83
"Burnsed, Jalen","el-Ali, Labeeba",48
"Zeng, Molly","Phan, Dulguun",3
"Zeng, Molly","Joy, Destinee",4
"Weeks, Madison","Zeng, Molly",3
"Zeng, Molly","Dunaway, Roman",7
"Zeng, Molly","Fuentes, Nichole",5
"Phan, Dulguun","Joy, Destinee",3
"Weeks, Madison","Phan, Dulguun",3
"Phan, Dulguun","Dunaway, Roman",3
"Phan, Dulguun","Fuentes, Nichole",14
"Weeks, Madison","Joy, Destinee",3
"Joy, Destinee","Dunaway, Roman",3
"Joy, Destinee","Fuentes, Nichole",3
"Weeks, Madison","Dunaway, Roman",3
"Weeks, Madison","Fuentes, Nichole",3
"Zeng, Molly","Gibbs, Juanita",12
"Phan, Dulguun","Gibbs, Juanita",9
"Joy, Destinee","Gibbs, Juanita",5
"Weeks, Madison","Gibbs, Juanita",8
"Gibbs, Juanita","Dunaway, Roman",7
"Gibbs, Juanita","Fuentes, Nichole",9
"Fuentes, Nichole","Dunaway, Roman",3
"Parker, Taylor","Rosenfeld Romano, Travis",3
"Parker, Taylor","Mark, Sophie",7
"Parker, Taylor","Chapman, Breea",2
"Parker, Taylor","Um, Melissa",3
"Um, Melissa","Rosenfeld Romano, Travis",29
"Um, Melissa","Mark, Sophie",5
"Um, Melissa","Chapman, Breea",6
"Rosenfeld Romano, Travis","Mark, Sophie",4
"Rosenfeld Romano, Travis","Chapman, Breea",3
"Mark, Sophie","Chapman, Breea",3
"Miller, Aryn","Tang, Yusuf",16
"Miller, Aryn","Muslimovic, Justin",10
"Tang, Yusuf","Muslimovic, Justin",14
"Alvarez, Michael","Tran, Allison",69
"Marquez, Luis","Tran, Allison",79
"Alvarez, Michael","Marquez, Luis",99
"Huang, Mary","Crockett, Scott",16
"Huang, Mary","Guo, Jerry",104
"Lee, Kevin","Huang, Mary",12
"Crockett, Scott","Guo, Jerry",19
"Lee, Kevin","Crockett, Scott",8
"Lee, Kevin","Guo, Jerry",11
"Bell, Jessica","Pride, Shauntaul",16
"Bell, Jessica","al-Kamara, Asmar",6
"al-Kamara, Asmar","Pride, Shauntaul",12
"Buehler, Xavia","el-Bangura, Ruwaida",15
"Rohde, Irquois","el-Bangura, Ruwaida",68
"Buehler, Xavia","Rohde, Irquois",6
"Richardson, Abdullahi","Davis, Selene",63
"Tokuyama, Alexandra","Mccoy, Asia",11
"Bell, Jessica","Alexander, Holly",3
"Bell, Jessica","Coleman, Justice",10
"Alexander, Holly","Coleman, Justice",5
"el-Farha, Nadeem","Summers, Alex",1
"Chu, Andrew","Marquez Orozco, Rosalio",99
"el-Hamdan, Saabiq","Medina, Mario",25
"Ertelt, Kento","Dowell, Chase",54
"al-Shams, Daamir","Dowell, Chase",35
"Ertelt, Kento","al-Shams, Daamir",42
"al-Shams, Daamir","Campbell, Kenndi",12
"Campbell, Kenndi","Dowell, Chase",10
"Ertelt, Kento","Campbell, Kenndi",10
"Edmunds, Kasey","Gonzales, Vincent",22
"Magallanes, Brenda","el-Abdallah, Abeer",25
"Curtis, Sage","Dillon, Aaron",57
"De Fiore, Matthew","Curtis, Sage",35
"De Fiore, Matthew","Dillon, Aaron",26
"Curtis, Sage","Ramirez, Emily",51
"Ramirez, Emily","Dillon, Aaron",41
"De Fiore, Matthew","Ramirez, Emily",32
"Simental, Karla","Mccrimmon, Jake",9
"Ayala, Taneisha","Williams, Shikoni",26
"al-Mustafa, Raheema","Lowe, Tyler",5
"al-Iqbal, Isaam","al-Younis, Mawhiba",4
"al-Iqbal, Isaam","Hawkins, Mark",29
"Hawkins, Mark","al-Younis, Mawhiba",11
"Brainard, Shayla","Leiva, Jessica",11
"el-Nazar, Sabaah","Martinez, Samara",68
"Reed, Samuel","el-Rafiq, Raashid",74
"el-Rafiq, Raashid","el-Mohamed, Shukri",5
"Wilson, Olivia","Henderson, Akinlabi",122
"Wilson, Olivia","Coleman, Jermie",45
"Coleman, Jermie","Henderson, Akinlabi",99
"Cornelius, Brooklyn","Crowder, Tevis",130
"Rodriguez-Gomez, Courtney","Hinze, Jordan",23
"Mcgowan, Dominic","Giltner, Malcolm",4
"Mcgowan, Dominic","Macfarlane, Benjamin",19
"Mcgowan, Dominic","Fierro, Emilio",6
"Fierro, Emilio","Giltner, Malcolm",3
"Fierro, Emilio","Macfarlane, Benjamin",5
"Giltner, Malcolm","Macfarlane, Benjamin",2
"Mcgowan, Dominic","al-Baluch, Shukriyya",9
"Fierro, Emilio","al-Baluch, Shukriyya",3
"Giltner, Malcolm","al-Baluch, Shukriyya",3
"al-Baluch, Shukriyya","Macfarlane, Benjamin",32
"Walters, Veronica","Salazar, Jose",40
"Walters, Veronica","Parker, Destiny",45
"Parker, Destiny","Salazar, Jose",25
"Wright, L'Trel","Naves, Gerardo",10
"Kumar, Sepehr","Wright, L'Trel",4
"Kumar, Sepehr","Naves, Gerardo",4
"Hampstead, Chase","Gurrola, Molly",1
"Gill, Elijah","Pham, Nedim",8
"Weber, Stephen","Pham, Nedim",13
"Gill, Elijah","Weber, Stephen",31
"Caraballo, Nickolas","Castaneda Garcia, Joel",10
"Lopez-Martinez, Kaitlyn","Gao, Lisa",39
"Crespin, Adrian","Vargo, Alexandria",2
"Crespin, Adrian","Kane, Jack",3
"Kane, Jack","Vargo, Alexandria",3
"Simental, Karla","Medina, Jessi",4
"Simental, Karla","Lopez, Joselin",6
"Lopez, Joselin","Medina, Jessi",26
"Johns, Mesel","Hyde, Lindsey",35
"Lamczyk, Shayne","Pronteau, Mikaela",2
"Reyes, Ijya","Thomas, Seth",7
"Lor, Nhung","Thomas, Seth",2
"Reyes, Ijya","Lor, Nhung",3
"David, Cynthia","Thomas, Seth",37
"Reyes, Ijya","David, Cynthia",56
"Lor, Nhung","David, Cynthia",11
"Brown, Torrance","Chavez, Alex",9
"Harden, Meghan","el-Bacchus, Khaira",14
"Alarid, Elizabeth","Medina, Idalys",141
"Blanchard, Twanna","Grob, Rosa",31
"Blanchard, Twanna","Spencer, Chance",64
"Blanchard, Twanna","Hallenbeck, Munir",29
"Grob, Rosa","Hallenbeck, Munir",24
"Grob, Rosa","Spencer, Chance",13
"Spencer, Chance","Hallenbeck, Munir",37
"Carabajal III, Alisha","Angelo, Kaci",36
"Watkins, Dakota","Barili, Jordan",56
"Lynch, Chadwick","el-Hai, Aqeela",132
"Tang, Yusuf","David, Cynthia",63
"Gibbs, Juanita","Davis, Odessey",3
"Wilson, Olivia","el-Atallah, Fakeeha",28
"Coleman, Jermie","el-Atallah, Fakeeha",12
"el-Atallah, Fakeeha","Henderson, Akinlabi",45
"al-Younis, Maazin","Marquez, Jorge",22
"Hong, Jodi","Baker, Andrea",53
"Baker, Andrea","Artzer, Alexis",22
"Baker, Andrea","Hinchliff, Dayvid",55
"Payne, Tyler","Baker, Andrea",87
"Baker, Andrea","Maiolo, Tara",19
"Hong, Jodi","Artzer, Alexis",20
"Artzer, Alexis","Hinchliff, Dayvid",14
"Payne, Tyler","Artzer, Alexis",9
"Artzer, Alexis","Maiolo, Tara",10
"Hong, Jodi","Hinchliff, Dayvid",22
"Payne, Tyler","Hinchliff, Dayvid",26
"Hinchliff, Dayvid","Maiolo, Tara",14
"Hong, Jodi","Eltagonde, An",14
"Eltagonde, An","Baker, Andrea",12
"Eltagonde, An","Artzer, Alexis",11
"Eltagonde, An","Hinchliff, Dayvid",8
"Payne, Tyler","Eltagonde, An",10
"Eltagonde, An","Maiolo, Tara",19
"Roberts, Devante","Whittern, Jeffrey",24
"Roberts, Devante","Powell, Taylor",35
"Powell, Taylor","Whittern, Jeffrey",60
"Locquiao-Rima, Crystal","Robertson, Patrick",16
"Mcgowan, Dominic","Parra, Emanuel",26
"Gomez, Teryn","Parra, Emanuel",34
"Lawton, Amanda","Irick, Michael",73
"Campbell, Kenndi","Young, Deiondre",11
"Campbell, Kenndi","el-Abbas, Azeeza",12
"el-Abbas, Azeeza","Young, Deiondre",28
"Vicencio, Latina","el-Abbas, Azeeza",46
"Vicencio, Latina","Campbell, Kenndi",12
"Vicencio, Latina","Young, Deiondre",21
"Medina, Anthony","Terrazas Gonzales, Dania",63
"Fuentes, Nichole","el-Abbas, Azeeza",67
"el-Abbas, Azeeza","Fierro, Elexis",18
"Fuentes, Nichole","Fierro, Elexis",29
"el-Ghanem, Naseema","Johnson, Lilly",62
"el-Ghanem, Naseema","Belser, Darius",14
"Belser, Darius","Johnson, Lilly",2
"Thomas, Seth","Kanamu-Santos, Anthony",7
"Starcer, Lance","al-Mansoor, Ramalaan",71
"Starcer, Lance","Thao, Trevor",20
"Wu Zheng, Louis","Starcer, Lance",62
"Starcer, Lance","Johnson, Kyja",14
"Starcer, Lance","Hobbs, Torrey",3
"Hobbs, Torrey","al-Mansoor, Ramalaan",6
"Hobbs, Torrey","Thao, Trevor",13
"Wu Zheng, Louis","Hobbs, Torrey",3
"Hobbs, Torrey","Johnson, Kyja",2
"al-Mansoor, Ramalaan","Thao, Trevor",57
"Wu Zheng, Louis","al-Mansoor, Ramalaan",47
"Wu Zheng, Louis","Thao, Trevor",50
"al-Mansoor, Ramalaan","Johnson, Kyja",4
"Thao, Trevor","Johnson, Kyja",3
"Wu Zheng, Louis","Johnson, Kyja",16
"Tapia, Oscar","al-Kazmi, Jaabir",18
"Nez, Blake","Cummings, Devon",81
"Reed, Samuel","al-Salahuddin, Aseela",7
"al-Salahuddin, Aseela","Schmalz, Trina",4
"Reed, Samuel","Schmalz, Trina",16
"Cornelius, Brooklyn","Nguyen, Kia",2
"Veleta, Francisco","Aguirre, Kelci",6
"Aguirre, Kelci","Mcbride, Sara",4
"Veleta, Francisco","Mcbride, Sara",12
"Eltagonde, An","Rosati, Johnathan",23
"Lial, John","Mukes, Marcus",12
"Lial, John","Chapa, Austin",32
"Chapa, Austin","Mukes, Marcus",25
"Wilford, Patrick","Mukes, Marcus",2
"Lial, John","Wilford, Patrick",8
"Chapa, Austin","Wilford, Patrick",4
"Pride, Shauntaul","Hallenbeck, Munir",40
"Roberts, Devante","Thao, Trevor",42
"Jay, Jordon","el-Azad, Hawraa",21
"Turner, Broccan","Jay, Jordon",39
"Turner, Broccan","el-Azad, Hawraa",40
"Brown, Ahmear","el-Azad, Hawraa",11
"Jay, Jordon","Brown, Ahmear",23
"Turner, Broccan","Brown, Ahmear",39
"Phommakhoth, Raenu","Johnson, Zachary",8
"Giusto, Kayla","Garcia, Rocio",61
"Helmbrecht, Kaylee","Maiolo, Tara",72
"Lial, John","Fenton, Kyle",36
"al-Fayad, Jawhar","Fenton, Kyle",79
"Robertson, Patrick","Ashby, Cody",6
"Robertson, Patrick","al-Abdul, Umaira",21
"al-Abdul, Umaira","Ashby, Cody",24
"Locquiao-Rima, Crystal","Ashby, Cody",3
"Locquiao-Rima, Crystal","al-Abdul, Umaira",2
"Padilla, Oscar","Locquiao-Rima, Crystal",3
"Padilla, Oscar","Ashby, Cody",12
"Padilla, Oscar","Robertson, Patrick",51
"Padilla, Oscar","al-Abdul, Umaira",82
"el-Masri, Rifqa","Fenton, Kyle",17
"el-Ghanem, Naseema","Holmes, Christian",7
"el-Ghanem, Naseema","el-Salehi, Sanad",2
"Rimmey, Mercedes","Holmes, Christian",14
"el-Ghanem, Naseema","Rimmey, Mercedes",5
"Rimmey, Mercedes","el-Salehi, Sanad",30
"el-Salehi, Sanad","Holmes, Christian",7
"Carabajal III, Alisha","el-Aydin, Arhab",27
"Miller, Brandi","el-Mohamed, Shukri",28
"Dawson, Joshua","al-Eid, Faalih",4
"Dorado Garcia, Vanessa","al-Eid, Faalih",1
"al-Hashemi, Muthanna","Sandoval, Victor",3
"al-Hashemi, Muthanna","Coleman, Justice",3
"Bell, Jessica","Sandoval, Victor",5
"Bell, Jessica","al-Hashemi, Muthanna",61
"Coleman, Justice","Sandoval, Victor",13
"Johns, Denisse","al-Meer, Kabeera",112
"al-Mostafa, Jeelaan","al-Arif, Naseeba",5
"al-Mostafa, Jeelaan","Cummings, Devon",25
"Cummings, Devon","al-Arif, Naseeba",71
"Ramirez, Emily","al-Maroun, Tuhfa",57
"Ramirez, Emily","Debase, Wesley",7
"Ramirez, Emily","Reyes Chavez, Ana",22
"Debase, Wesley","al-Maroun, Tuhfa",16
"Reyes Chavez, Ana","al-Maroun, Tuhfa",57
"Debase, Wesley","Reyes Chavez, Ana",12
"el-Mansur, Abdut Tawwab","Urquijo, Yecenia",108
"Hinze, Jordan","Mascarenas-Lucero, Mckenzie",7
"Price, Bria","Hinze, Jordan",37
"Price, Bria","Mascarenas-Lucero, Mckenzie",5
"Neal, Samba","Ahsan, Rohith",1
"Corral-Bejarano, Louis","el-Bacchus, Khaira",19
"Juvera, Blanca","Jones, Morris",35
"Coleman, Jermie","el-Shehadeh, Sabaah",25
"Dean, Sydney","al-Elbaz, Zakariyya",23
"el-Shehadeh, Sabaah","Bird, Brooke",42
"Ka, Elfadly","Higa, Christian",42
"Ka, Elfadly","Peralta, Irving",78
"Booker, Aujanair","Ka, Elfadly",37
"Booker, Aujanair","Higa, Christian",64
"Booker, Aujanair","Peralta, Irving",56
"Peralta, Irving","Higa, Christian",79
"al-Akel, Husniyya","Avalaz, Armandell",25
"al-Akel, Husniyya","Rubio, Talon",37
