from,to,n_times
"Montano, Kristen","Gonzalez Lopez, Jessie",2
"Saller, Christopher","Dickinson, Chimi",25
"Saller, Christopher","Bui, Da Som",11
"Bui, Da Som","Dickinson, Chimi",7
"al-Mustafa, Aatif","Ramirez Banuelos, Bianca",39
"Sewald, Jason","Quinnie, Edward",27
"Sims, Alexandrea","el-Hussain, Saalih",22
"Leshchinskaya, Justina","el-Shahid, Maahir",52
"Leshchinskaya, Justina","Williams, Benjamin",60
"el-Shahid, Maahir","Williams, Benjamin",45
"Rainey, Mariah","al-Sharif, Raafida",142
"Jones, Connor","Drury-Parlett, Alex",28
"al-Mohammad, Taaj","al-Samaan, Ayyoob",56
"Natonabah, Naiessynce","al-Abdi, Sahar",17
"Norris, Savannah","al-Salame, Mahbooba",9
"Shorty, Robert","al-Salame, Mahbooba",44
"Norris, Savannah","Shorty, Robert",16
"al-Idris, Fakeeha","el-Sinai, Husaam",6
"al-Idris, Fakeeha","Cain, Dontae",9
"Cain, Dontae","el-Sinai, Husaam",18
"Estrada, Alexandrea","Sampson, Nicholas",12
"Thamert, Denver","Vigil, Scheridan",62
"Thamert, Denver","el-Sinai, Husaam",9
"Vigil, Scheridan","el-Sinai, Husaam",6
"Kumpf, Jessica","Chavarin, Alex",4
"al-Mannan, Jaasim","Chavarin, Alex",17
"Kumpf, Jessica","al-Mannan, Jaasim",42
"al-Mannan, Jaasim","Gosz, Lisa",47
"Gosz, Lisa","Chavarin, Alex",38
"Kumpf, Jessica","Gosz, Lisa",24
"Cain, Dontae","Lane, Nakeia",38
"el-Pasha, Abdul Baari","Chism, Tanisha",74
"el-Pasha, Abdul Baari","Dye, Taylor",52
"al-Kaleel, Nassaar","Chism, Tanisha",5
"al-Kaleel, Nassaar","Dye, Taylor",57
"Dye, Taylor","Chism, Tanisha",6
"Dye, Taylor","Gonzalez, Yurivet",16
"Nguyen, Ben","Heilman, Sharah",91
"Nguyen, Ben","Victorino, Meghana",93
"Victorino, Meghana","Heilman, Sharah",86
"Moore, Damarius","Pollock, Connor",20
"Rhinehart, Eve","Pollock, Connor",37
"Moore, Damarius","Rhinehart, Eve",44
"Harkay, Benjamin","el-Amber, Wajeeb",56
"Harkay, Benjamin","al-Hoque, Nawfa",55
"al-Hoque, Nawfa","el-Amber, Wajeeb",50
"Garcia, Taylor","Deguzman, Benjamin",40
"Garcia, Taylor","Cordova, Henry",94
"Cordova, Henry","Deguzman, Benjamin",9
"el-Abood, Hissa","el-Hashim, Shafee'a",7
"el-Abood, Hissa","al-Hashmi, Hafsa",7
"al-Hashmi, Hafsa","el-Hashim, Shafee'a",30
"Juarez, Bianca","el-Majid, Shakoora",59
"Tran, Johnny","De Giorgio, David",20
"Bennett, Jared","Tran, Johnny",2
"Bennett, Jared","De Giorgio, David",3
"Champine, Cody","Kennedy, Manulagaeu",9
"Sherrell, Kyira","el-Nazar, Akram",27
"Burdick, Tysza","Hoang, Alexander",64
"Burdick, Tysza","el-Mansour, Badri",31
"el-Mansour, Badri","Hoang, Alexander",33
"Campos, Tanisha","Dong, Michelle",108
"Deguzman, Benjamin","Neal, Beauty",43
"Natonabah, Amber","Norris, Savannah",26
"Hampton, Yeng","al-Tariq, Ulyaa",2
"Hampton, Yeng","Anderson, Eva",1
"Hampton, Yeng","Dalke, Emily",2
"Hampton, Yeng","Davis, Charlotte",3
"Anderson, Eva","al-Tariq, Ulyaa",7
"Anderson, Eva","Dalke, Emily",6
"Dalke, Emily","al-Tariq, Ulyaa",13
"Davis, Charlotte","al-Tariq, Ulyaa",3
"Anderson, Eva","Davis, Charlotte",14
"Dalke, Emily","Davis, Charlotte",5
"Stevens, Dana","el-Nazar, Akram",12
"el-Hanif, Shafee'a","al-Jabbar, Maahir",32
"Rudebusch, Nathan","al-Omer, Faadi",41
"Mendez-Soto, Jared","Apodaca-Anaya, Quintina",7
"Lacy, Justin","Blackburn, Marlon",25
"Lacy, Justin","Ishizuki, Gurjot",7
"Ishizuki, Gurjot","Blackburn, Marlon",9
"Bivings, Michael","Sandoval, Ryan",36
"el-Rashed, Yusri","Garcia, Ricardo",5
"el-Rashed, Yusri","Her, Avery",7
"Her, Avery","Garcia, Ricardo",4
"el-Rashed, Yusri","Caples, Luke",8
"Her, Avery","Caples, Luke",7
"Caples, Luke","Garcia, Ricardo",4
"Watson, Amanda","Dye, David",15
"al-Mannan, Jaasim","Duong, Ryan",1
"al-Mannan, Jaasim","Cordova, Yuri",1
"al-Mannan, Jaasim","Trujillo, Brandon",8
"Cordova, Yuri","Duong, Ryan",10
"Cordova, Yuri","Trujillo, Brandon",1
"Jacket, Brianna","Duong, Ryan",7
"al-Mannan, Jaasim","Jacket, Brianna",1
"Cordova, Yuri","Jacket, Brianna",48
"Jacket, Brianna","Trujillo, Brandon",16
"Trujillo, Brandon","Duong, Ryan",1
"Clifton, Nico","Stebbins, Adel",4
"Bufano, Jessica","Carrillo, Mario",1
"Vigil, Scheridan","Bufano, Jessica",7
"Bufano, Jessica","Donaldson, Armani",4
"Vigil, Scheridan","Carrillo, Mario",1
"Vigil, Scheridan","Donaldson, Armani",1
"Donaldson, Armani","Carrillo, Mario",1
"Lundberg, Stephanie","Vigil, Roman",55
"Lundberg, Stephanie","An, William",53
"An, William","Vigil, Roman",46
"Jimenez, Gabriel","Divecchia, Kimberly",43
"Jimenez, Gabriel","al-Khalaf, Wajeeh",26
"al-Khalaf, Wajeeh","Divecchia, Kimberly",24
"Herndon, Lawrence","Aguirre, Dominic",64
"Herndon, Lawrence","Williams, Jeremy",90
"Aguirre, Dominic","Williams, Jeremy",50
"Akhtar, Steffany","Salaz, Mariah",21
"al-Dada, Saahira","Santistevan, Miranda",2
"al-Dada, Saahira","King, Bin",2
"al-Dada, Saahira","Deleon, Brianna",7
"Lundberg, Stephanie","Deleon, Brianna",5
"Deleon, Brianna","Santistevan, Miranda",57
"Deleon, Brianna","King, Bin",2
"Lundberg, Stephanie","al-Dada, Saahira",4
"Lundberg, Stephanie","Santistevan, Miranda",26
"Lundberg, Stephanie","King, Bin",34
"Santistevan, Miranda","King, Bin",11
"Montoya, Zachary","al-Darwish, Awaatif",10
"Kumpf, Jessica","Parmiter, Matthew",13
"al-Mannan, Jaasim","Parmiter, Matthew",10
"al-Mannan, Jaasim","Long, Destiny",9
"Parmiter, Matthew","Long, Destiny",7
"Kumpf, Jessica","Long, Destiny",8
"Smith, Amanda","Khatri, Jasmine",5
"Smith, Amanda","Barrera, Ganell",5
"Barrera, Ganell","Khatri, Jasmine",74
"Mansurabadi, Donovan","Palma, Carmen",77
"Mansurabadi, Donovan","Otey, Jordan",56
"Palma, Carmen","Otey, Jordan",113
"Cody, Devin","Archuleta III, Joshua",12
"Cody, Devin","Roberts, Jennifer",10
"Roberts, Jennifer","Kills In Sight, Braedon",23
"Roberts, Jennifer","Archuleta III, Joshua",17
"Roberts, Jennifer","Tran, Vanya",8
"Cody, Devin","Kills In Sight, Braedon",37
"Kills In Sight, Braedon","Archuleta III, Joshua",19
"Kills In Sight, Braedon","Tran, Vanya",58
"Cody, Devin","Tran, Vanya",16
"Tran, Vanya","Archuleta III, Joshua",10
"Bivings, Michael","Leal, Iran",8
"Leal, Iran","Verde, Thalia",11
"Leal, Iran","Sandoval, Ryan",15
"Leal, Iran","Chipman, Jessica",30
"Bivings, Michael","Verde, Thalia",27
"Bivings, Michael","Chipman, Jessica",21
"Verde, Thalia","Sandoval, Ryan",84
"Verde, Thalia","Chipman, Jessica",23
"Chipman, Jessica","Sandoval, Ryan",28
"el-Jama, Hafsa","Yang, Dominic",2
"el-Jama, Hafsa","Larry, Sirdushene",20
"Yang, Dominic","Larry, Sirdushene",2
"el-Reza, Sahla","Boh, Kimberly",22
"Martinez, Eduardo","Draper, Hannah",7
"al-Ghazi, Mawzoona","Thornburg, Antonio",45
"al-Siddique, Sabaaha","Clark, Kayla",3
"al-Siddique, Sabaaha","Downs, Christian",51
"Downs, Christian","Clark, Kayla",3
"Dong, Michelle","Nguyen, Sanna",41
"el-Amber, Wajeeb","Begay, Nathaniel",32
"el-Amber, Wajeeb","Elcock, Daijha",42
"Elcock, Daijha","Begay, Nathaniel",67
"Puga-Garcia, Jorge","el-Anwar, Naseera",1
"Curtis, Charles","Becerra, Joshua",30
"Curtis, Charles","Kishiyama, Paul",87
"Becerra, Joshua","Kishiyama, Paul",53
"Hall, Sharice","Huitt, Uriah",26
"Miales, Ariel","Hall, Sharice",66
"Miales, Ariel","Huitt, Uriah",54
"Hall, Sharice","Romero, April",25
"Miales, Ariel","Romero, April",27
"Romero, April","Huitt, Uriah",59
"Nguyen, Ben","Lung, Eileen",24
"Lung, Eileen","Abdalla, Devonna",45
"Nguyen, Ben","Abdalla, Devonna",29
"Lung, Eileen","al-Ismail, Furqaan",33
"Abdalla, Devonna","al-Ismail, Furqaan",58
"Nguyen, Ben","al-Ismail, Furqaan",10
"Gonzalez, David","Cerenil, Jerrica",15
"Gonzalez, David","Tyler, Asia",11
"Tyler, Asia","Cerenil, Jerrica",80
"Sherrell, Kyira","Naranjo, Isabella",7
"Sherrell, Kyira","Torres, Alexander",27
"Torres, Alexander","Naranjo, Isabella",6
"Park, Ashleigh","Soto, Ghibrian",116
"el-Jama, Hafsa","Kim, Joseph",22
"Musa, Lynn","Kim, Joseph",7
"el-Jama, Hafsa","Musa, Lynn",6
"Manke, Martha","Wallace, Tyler",8
"Villarreal, Jazmin","Jarvis, Jalaka",17
"Jun, Jacklyne","Merrow, Kassandra",15
"Aguilera, Xavier","Bohannon Pea, Kaela",65
"Aguilera, Xavier","el-Rahimi, Afeef",83
"el-Rahimi, Afeef","Bohannon Pea, Kaela",48
"Meza, Alejandra","Weincek, Zack",3
"Meza, Alejandra","Bron, Maranda",4
"Martinez, Eduardo","Meza, Alejandra",3
"Meza, Alejandra","el-Abdella, Kaarim",7
"Meza, Alejandra","Griffith, Reed",5
"Weincek, Zack","Bron, Maranda",3
"Martinez, Eduardo","Weincek, Zack",3
"Weincek, Zack","el-Abdella, Kaarim",3
"Weincek, Zack","Griffith, Reed",14
"Martinez, Eduardo","Bron, Maranda",3
"Bron, Maranda","el-Abdella, Kaarim",3
"Bron, Maranda","Griffith, Reed",3
"Martinez, Eduardo","el-Abdella, Kaarim",3
"Martinez, Eduardo","Griffith, Reed",3
"Meza, Alejandra","Rivera, Souvany",12
"Weincek, Zack","Rivera, Souvany",9
"Bron, Maranda","Rivera, Souvany",5
"Martinez, Eduardo","Rivera, Souvany",8
"Rivera, Souvany","el-Abdella, Kaarim",7
"Rivera, Souvany","Griffith, Reed",9
"Griffith, Reed","el-Abdella, Kaarim",3
"Sorrell, Nohelia","al-Sham, Saafiyya",3
"Sorrell, Nohelia","Weed, Jackie",7
"Sorrell, Nohelia","Thorne, Zakkary",2
"Sorrell, Nohelia","Lor, Sam",3
"Lor, Sam","al-Sham, Saafiyya",29
"Lor, Sam","Weed, Jackie",5
"Lor, Sam","Thorne, Zakkary",6
"al-Sham, Saafiyya","Weed, Jackie",4
"al-Sham, Saafiyya","Thorne, Zakkary",3
"Weed, Jackie","Thorne, Zakkary",3
"Yoshimura, Rachael","Scannell, Bella",16
"Yoshimura, Rachael","King, Bin",10
"Scannell, Bella","King, Bin",14
"Sandoval, Megan","Thomas, Shelby",69
"Furman, Dylan","Thomas, Shelby",79
"Sandoval, Megan","Furman, Dylan",99
"el-Allee, Nizaam","Aragon, Michaeli",16
"el-Allee, Nizaam","Morris, Mattiea",104
"Lewis, Tyrale","el-Allee, Nizaam",12
"Aragon, Michaeli","Morris, Mattiea",19
"Lewis, Tyrale","Aragon, Michaeli",8
"Lewis, Tyrale","Morris, Mattiea",11
"Brown, Mollie","al-Shahidi, Muneera",16
"Brown, Mollie","Lor, Janice",6
"Lor, Janice","al-Shahidi, Muneera",12
"Lopez, Julia","Mead, John-Wesley",15
"Peppo, Kevin","Mead, John-Wesley",68
"Lopez, Julia","Peppo, Kevin",6
"al-Kaleel, Nassaar","Chavarria, Alexander",63
"Lor, Brendan","Brutout, Cody",11
"Brown, Mollie","Dumas, Makayla",3
"Brown, Mollie","el-Radwan, Hanaaa",10
"Dumas, Makayla","el-Radwan, Hanaaa",5
"Boll, Jeffery","Nunez, Erick",1
"Nunez, Erick","Smith, Julia",15
"Boll, Jeffery","Smith, Julia",6
"Bishop, Dominique","Smith, Jensen",99
"Santistevan, Miranda","Chism, Tanisha",25
"Cloud, Lauren","el-Nazar, Akram",54
"Kijprachakorn, Weslie","el-Nazar, Akram",35
"Cloud, Lauren","Kijprachakorn, Weslie",42
"Kijprachakorn, Weslie","Apodaca-Anaya, Quintina",12
"Apodaca-Anaya, Quintina","el-Nazar, Akram",10
"Cloud, Lauren","Apodaca-Anaya, Quintina",10
"Groesbeck, Kimberly","Belmont, Alex",22
"Qi, Ruth","Garcia, Taryn",25
"Mergerson, Ryvon","King, Kyle",57
"Jackson, Shailah","Mergerson, Ryvon",35
"Jackson, Shailah","King, Kyle",26
"Mergerson, Ryvon","Craig, Ladon",51
"Craig, Ladon","King, Kyle",41
"Jackson, Shailah","Craig, Ladon",32
"Cain, Dontae","Greene, Ladezhane",9
"Miller, Michael","Lin, Kathleen",26
"el-Farah, Lutfi","Heller, Allan",5
"Herrera, Heaven","Shaw, De Jilon",4
"Herrera, Heaven","Caraveo Herrera, Zyul",29
"Caraveo Herrera, Zyul","Shaw, De Jilon",11
"Batt, Audrey","Merrow, Kassandra",11
"Leshchinskaya, Justina","Hedberg, Jennifer",68
"Estrada, Alexandrea","Venn, Marissa",74
"Venn, Marissa","Sampson, Nicholas",5
"Skof, Mckenzie","Holland, Ryan",122
"Skof, Mckenzie","Humrich, Zeriah",45
"Humrich, Zeriah","Holland, Ryan",99
"Scott, Blake","Zubia, Diego",130
"Dow Babycos, Sabrina","el-Jabara, Tareef",23
"Norris, Savannah","al-Abdelrahman, Mahdeeya",4
"Norris, Savannah","Johnson, Darrin",19
"Norris, Savannah","Garcia, Justin",6
"Garcia, Justin","al-Abdelrahman, Mahdeeya",3
"Garcia, Justin","Johnson, Darrin",5
"al-Abdelrahman, Mahdeeya","Johnson, Darrin",2
"Norris, Savannah","al-Omer, Faadi",9
"Garcia, Justin","al-Omer, Faadi",3
"al-Abdelrahman, Mahdeeya","al-Omer, Faadi",3
"al-Omer, Faadi","Johnson, Darrin",32
"Kishiyama, Paul","Dickinson, Chimi",40
"Kishiyama, Paul","Fernandez, Dameion",45
"Fernandez, Dameion","Dickinson, Chimi",25
"Lane, Marissa","Lee, Linda",10
"Truitt, Jason","Lane, Marissa",4
"Truitt, Jason","Lee, Linda",4
"Jackson, Ellen","Banuelos, Adriana",1
"Bartlett, Katie","Phenna, Rocky",8
"Khorshid, Mark","Phenna, Rocky",13
"Bartlett, Katie","Khorshid, Mark",31
"Bivings, Michael","Gurule, Luisa",10
"Holmes, Cameron","Fredericks, Shalisha",39
"Thompson, Tylor","Davis, Rio",2
"Thompson, Tylor","Van Zee, Yusuf",3
"Van Zee, Yusuf","Davis, Rio",3
"Cain, Dontae","Wang, Guang",4
"Cain, Dontae","el-Aboud, Haafiza",6
"el-Aboud, Haafiza","Wang, Guang",26
"al-Ghaffari, Mumtaaza","al-Zaidi, Haniyya",35
"Kennedy, Manulagaeu","Fransua, Meghan",2
"Santiago, Hana","al-Neman, Baasim",7
"Lobatos Sanchez, Miguel","al-Neman, Baasim",2
"Santiago, Hana","Lobatos Sanchez, Miguel",3
"Dittloff, Patrick","al-Neman, Baasim",37
"Santiago, Hana","Dittloff, Patrick",56
"Lobatos Sanchez, Miguel","Dittloff, Patrick",11
"Lehi, Angelina","el-Molla, Tamanna",9
"al-Sheikh, Mahmood","al-Kazi, Tahiyya",14
"Moore, Damarius","Lopez-Silerio, Elijah",141
"Madrid, Alberto","Rocha, Benjamin",31
"Madrid, Alberto","Thurby, Aaron",64
"Madrid, Alberto","Cox, Josiah",29
"Rocha, Benjamin","Cox, Josiah",24
"Rocha, Benjamin","Thurby, Aaron",13
"Thurby, Aaron","Cox, Josiah",37
"el-Shah, Zahraaa","Garcia, Yamilex",36
"Aguirre, Dominic","Martinez, Alexandro",56
"Victorino, Meghana","Gutierrez, Jay",132
"Scannell, Bella","Dittloff, Patrick",63
"Rivera, Souvany","Demario, Ellis",3
"Skof, Mckenzie","Widlund, Adrienne",28
"Humrich, Zeriah","Widlund, Adrienne",12
"Widlund, Adrienne","Holland, Ryan",45
"Markham, Christopher","Seiler, Shelby",22
"el-Hassen, Faisal","Mcclain, Camry",53
"Mcclain, Camry","Raposa, Dominique",22
"Mcclain, Camry","Sweets, Devon",55
"Adams, Mariah","Mcclain, Camry",87
"Mcclain, Camry","Gabel, Alexandra",19
"el-Hassen, Faisal","Raposa, Dominique",20
"Raposa, Dominique","Sweets, Devon",14
"Adams, Mariah","Raposa, Dominique",9
"Raposa, Dominique","Gabel, Alexandra",10
"el-Hassen, Faisal","Sweets, Devon",22
"Adams, Mariah","Sweets, Devon",26
"Sweets, Devon","Gabel, Alexandra",14
"el-Hassen, Faisal","Gonzalez, Yurivet",14
"Gonzalez, Yurivet","Mcclain, Camry",12
"Gonzalez, Yurivet","Raposa, Dominique",11
"Gonzalez, Yurivet","Sweets, Devon",8
"Adams, Mariah","Gonzalez, Yurivet",10
"Gonzalez, Yurivet","Gabel, Alexandra",19
"Cerenil, Jerrica","Smith, Sterling",24
"Cerenil, Jerrica","Pham, Anh",35
"Pham, Anh","Smith, Sterling",60
"Loughridge, Jesse","Schaller, Karl",16
"Norris, Savannah","Sandoval, Ruben",26
"Natonabah, Amber","Sandoval, Ruben",34
"Montoya, Emma","Carter, Joshua",73
"Apodaca-Anaya, Quintina","Brown, Krystal",11
"Apodaca-Anaya, Quintina","Fay, Paige",12
"Fay, Paige","Brown, Krystal",28
"el-Abood, Hissa","Fay, Paige",46
"el-Abood, Hissa","Apodaca-Anaya, Quintina",12
"el-Abood, Hissa","Brown, Krystal",21
"Rice, Katrina","Moua, Naweed",63
"Griffith, Reed","Fay, Paige",67
"Fay, Paige","Simmons, Quincy",18
"Griffith, Reed","Simmons, Quincy",29
"Alger, Kincaid","Butcher, Kolten",62
"Alger, Kincaid","Gates, Rachel",14
"Gates, Rachel","Butcher, Kolten",2
"al-Neman, Baasim","Barron, Kindra",7
"al-Dada, Saahira","Fischer, Megan",71
"al-Dada, Saahira","Santiago, Christopher",20
"Rosser, Jay","al-Dada, Saahira",62
"al-Dada, Saahira","Green, Adrien",14
"al-Dada, Saahira","Litwin, Michael",3
"Litwin, Michael","Fischer, Megan",6
"Litwin, Michael","Santiago, Christopher",13
"Rosser, Jay","Litwin, Michael",3
"Litwin, Michael","Green, Adrien",2
"Fischer, Megan","Santiago, Christopher",57
"Rosser, Jay","Fischer, Megan",47
"Rosser, Jay","Santiago, Christopher",50
"Fischer, Megan","Green, Adrien",4
"Santiago, Christopher","Green, Adrien",3
"Rosser, Jay","Green, Adrien",16
"el-Akbari, Labeeb","Cheung, Yuvorn",18
"Matthiesen, Dillon","Birkhead, Ji Young",81
"Estrada, Alexandrea","Blackburn, Marlon",7
"Blackburn, Marlon","Adame, Jacob",4
"Estrada, Alexandrea","Adame, Jacob",16
"Scott, Blake","Beauchamp, Antonio",2
"Gutierrez, Jonathan","Dodson, Blake",6
"Dodson, Blake","Phillips, Alexis",4
"Gutierrez, Jonathan","Phillips, Alexis",12
"Gonzalez, Yurivet","Verde, Thalia",23
"Miales, Ariel","Moreno, Daniel",12
"Miales, Ariel","Snyder, Steven",32
"Snyder, Steven","Moreno, Daniel",25
"Neuwirth, Whitney","Moreno, Daniel",2
"Miales, Ariel","Neuwirth, Whitney",8
"Snyder, Steven","Neuwirth, Whitney",4
"al-Shahidi, Muneera","Cox, Josiah",40
"Cerenil, Jerrica","Santiago, Christopher",42
"al-Shakoor, Uqbah","Williams, Jared",21
"Cody, Devin","al-Shakoor, Uqbah",39
"Cody, Devin","Williams, Jared",40
"el-Mansoor, Ibrahim","Williams, Jared",11
"al-Shakoor, Uqbah","el-Mansoor, Ibrahim",23
"Cody, Devin","el-Mansoor, Ibrahim",39
"Lopez, Fernando","Jones, Cade",8
"el-Jafari, Jannat","Mcnichols, Aidan",61
"Martinez, Shania","Gabel, Alexandra",72
"Miales, Ariel","Scaggs, Christopher",36
"Huitt, Uriah","Scaggs, Christopher",79
"Schaller, Karl","Lapaz, Tazz",6
"Schaller, Karl","Acosta, Jennifer",21
"Acosta, Jennifer","Lapaz, Tazz",24
"Loughridge, Jesse","Lapaz, Tazz",3
"Loughridge, Jesse","Acosta, Jennifer",2
"al-Khalaf, Wajeeh","Loughridge, Jesse",3
"al-Khalaf, Wajeeh","Lapaz, Tazz",12
"al-Khalaf, Wajeeh","Schaller, Karl",51
"al-Khalaf, Wajeeh","Acosta, Jennifer",82
"Russell, Ciara","Scaggs, Christopher",17
"Alger, Kincaid","Marquez, Bryan",7
"Alger, Kincaid","Belden, Kaylina",2
"Nguyen, Steven","Marquez, Bryan",14
"Alger, Kincaid","Nguyen, Steven",5
"Nguyen, Steven","Belden, Kaylina",30
"Belden, Kaylina","Marquez, Bryan",7
"el-Shah, Zahraaa","Kang, Mreenal",27
"Young, Keahna","Sampson, Nicholas",28
"al-Ismail, Furqaan","Hill, Alyssa",4
"Lung, Eileen","Hill, Alyssa",1
"Smith, Chance","Landucci, Ashley",3
"Smith, Chance","el-Radwan, Hanaaa",3
"Brown, Mollie","Landucci, Ashley",5
"Brown, Mollie","Smith, Chance",61
"el-Radwan, Hanaaa","Landucci, Ashley",13
"Ottosen, Jessica","al-Khalaf, Awda",112
"al-Khalid, Jihaad","Snelling, Peyton",5
"al-Khalid, Jihaad","Birkhead, Ji Young",25
"Birkhead, Ji Young","Snelling, Peyton",71
"Craig, Ladon","Doyle, Elise",57
"Craig, Ladon","Hodges, Alexander",7
"Craig, Ladon","Durham, Adam",22
"Hodges, Alexander","Doyle, Elise",16
"Durham, Adam","Doyle, Elise",57
"Hodges, Alexander","Durham, Adam",12
"Nguyen, Ben","King, Elizabeth",108
"el-Jabara, Tareef","Rosales, Mattaio",7
"Harkay, Benjamin","el-Jabara, Tareef",37
"Harkay, Benjamin","Rosales, Mattaio",5
"Allison, Garrett","Gonzalez, Francisco",1
"Porras, Edgar","al-Kazi, Tahiyya",19
"Garcia, Taylor","Sun, Mimi",35
"Humrich, Zeriah","Andrews, Carmen",25
"Alaniz, Juan","Chang, Julian",23
"Andrews, Carmen","King, Ryan",42
"Brunt, Erik","Hartman, Niki",42
"Brunt, Erik","al-El-Sayed, Mubaaraka",78
"Roberts, Jennifer","Brunt, Erik",37
"Roberts, Jennifer","Hartman, Niki",64
"Roberts, Jennifer","al-El-Sayed, Mubaaraka",56
"al-El-Sayed, Mubaaraka","Hartman, Niki",79
"Portillo, Justin","Orona, Elario",25
"Portillo, Justin","Saqib, Adam",37
